id,item,price,currency,created_at,updated_at,system_timestamp
12345678-1234-1234-1234-123456789abc,Tibber Connect,279.99,EUR,2025-03-04T08:00:00+01:00,2025-03-06T08:05:00+01:00,2025-03-06T08:10:00+01:00
87654321-4321-4321-4321-cba987654321,Pulse X,409.95,NOK,2025-03-04T09:00:00+01:00,2025-03-06T09:05:00+01:00,2025-03-06T09:10:00+01:00
abcdefab-cdef-cdef-cdef-abcdefabcdef,SmartPulse X,199.95,JPY,2025-03-04T10:00:00+01:00,2025-03-06T10:05:00+01:00,2025-03-06T10:10:00+01:00
fedcbafe-dcba-dcba-dcba-fedcbafedcba,Tibber Elite,439.99,NOK,2025-03-04T11:00:00+01:00,2025-03-06T11:10:00+01:00,2025-03-06T11:15:00+01:00
0f0f0f0f-0f0f-0f0f-0f0f-0f0f0f0f0f0f,Pulse Max,369.50,USD,2025-03-04T12:00:00+01:00,2025-03-06T12:05:00+01:00,2025-03-06T12:10:00+01:00
aaaaaaaa-0000-0000-0000-000000000001,Tibber Flex,319.99,NOK,2025-03-06T13:00:00+01:00,2025-03-06T13:05:00+01:00,2025-03-06T13:10:00+01:00
aaaaaaaa-0000-0000-0000-000000000002,Pulse Ultra,459.99,EUR,2025-03-06T14:00:00+01:00,2025-03-06T14:05:00+01:00,2025-03-06T14:10:00+01:00
aaaaaaaa-0000-0000-0000-000000000003,Smart Energy,389.99,USD,2025-03-06T15:00:00+01:00,2025-03-06T15:05:00+01:00,2025-03-06T15:10:00+01:00
aaaaaaaa-0000-0000-0000-000000000004,Tibber Spark,279.99,JPY,2025-03-06T16:00:00+01:00,2025-03-06T16:05:00+01:00,2025-03-06T16:10:00+01:00
aaaaaaaa-0000-0000-0000-000000000005,Pulse Plus Pro,499.99,GBP,2025-03-06T17:00:00+01:00,2025-03-06T17:05:00+01:00,2025-03-06T17:10:00+01:00
